outcome,month,mmwr_week,age_group,vaccine_product,boosted_with_outcome,boosted_population,primary_series_only_with_outcome,primary_series_only_population,unvaccinated_with_outcome,unvaccinated_population,crude_booster_ir,crude_primary_series_only_ir,crude_unvax_ir,crude_booster_irr,crude_irr,age_adj_booster_ir,age_adj_vax_ir,age_adj_unvax_ir,age_adj_booster_irr,age_adj_irr,continuity_correction
death,Oct-21,202141,18-49,all_types,0,679616,24,51987229,377,31865458,0,0.0461652,1.183099267,,25.62752188,,,,,,0
death,Oct-21,202141,50-64,all_types,6,745949,111,28689404,839,8763239,0.804344533,0.386902426,9.574085564,11.90296592,24.74547826,,,,,,0
death,Oct-21,202141,65+,all_types,28,2377641,755,26077768,1688,4293542.800000001,1.177637835,2.895186429,39.31485206,33.38450149,13.57938531,,,,,,1
death,Oct-21,202141,all_ages,all_types,34,3803206,890,106754401,2904,44922239.8,0.893982603,0.833689283,6.464504025,7.231129557,7.754092752,0.363021967,0.600103825,9.371009125,25.81389002,15.61564639,0
death,Oct-21,202141,all_ages,Janssen,0,41668,96,9219612,2904,44922239.8,0,1.041258569,6.464504025,,6.208356134,0,1.117553886,9.371009125,,8.385286153,0
death,Oct-21,202141,all_ages,Moderna,10,1012194,327,42555391,2904,44922239.8,0.987952902,0.768410282,6.464504025,6.543332187,8.412828636,0.333993293,0.466070574,9.371009125,28.05747694,20.10641659,0
death,Oct-21,202141,all_ages,Pfizer,24,2740597,467,54905948,2904,44922239.8,0.875721604,0.850545373,6.464504025,7.381916807,7.600422309,0.385703559,0.687101003,9.371009125,24.29588449,13.63847395,0
death,Oct-21,202142,18-49,all_types,1,1029178,23,52296930,351,31416042,0.097164922,0.0439796,1.117263594,11.49863111,25.40411129,,,,,,0
death,Oct-21,202142,50-64,all_types,6,1084473,96,28548507,718,8619995,0.55326412,0.336269774,8.329471189,15.05514435,24.77020485,,,,,,0
death,Oct-21,202142,65+,all_types,35,3525190,719,25043651,1469,4185910.5,0.992854286,2.870987142,35.09391804,35.34649398,12.22364166,,,,,,1
death,Oct-21,202142,all_ages,all_types,42,5638841,838,105889088,2538,44221947.5,0.744833912,0.791394105,5.739231634,7.705384439,7.252052548,0.341821369,0.584381894,8.359535707,24.45586047,14.30491907,0
death,Oct-21,202142,all_ages,Janssen,0,46264,81,9279384,2538,44221947.5,0,0.87290277,5.739231634,,6.574880765,0,0.943854237,8.359535707,,8.856807946,0
death,Oct-21,202142,all_ages,Moderna,17,1116125,324,42686486,2538,44221947.5,1.52312689,0.759022422,5.739231634,3.768058769,7.561346629,0.808224679,0.458857532,8.359535707,10.34308396,18.21815077,0
death,Oct-21,202142,all_ages,Pfizer,25,4464778,432,53851875,2538,44221947.5,0.559938254,0.80220048,5.739231634,10.24975805,7.154360753,0.244007105,0.686770107,8.359535707,34.25939466,12.17224749,0
death,Oct-21,202143,18-49,all_types,0,1363271,22,52524344,302,30958216,0,0.0418853,0.975508408,,23.28997236,,,,,,0
death,Oct-21,202143,50-64,all_types,4,1435972,82,28364723,630,8438807,0.278556964,0.289091489,7.465510231,26.80065915,25.82404022,,,,,,0
death,Oct-21,202143,65+,all_types,31,4452471,712,24211025,1398,4016988.8,0.696242603,2.940808991,34.80218815,49.98572047,11.83422257,,,,,,1
death,Oct-21,202143,all_ages,all_types,35,7251714,816,105100092,2330,43414011.8,0.482644517,0.776402746,5.366930867,11.1198422,6.912560391,0.174826812,0.585423933,8.046331718,46.02458635,13.74445297,0
death,Oct-21,202143,all_ages,Janssen,2,50014,76,9336856,2330,43414011.8,3.998880314,0.813978496,5.366930867,1.342108402,6.593455351,5.353494123,0.868401542,8.046331718,1.503005614,9.265681056,0
death,Oct-21,202143,all_ages,Moderna,15,1205134,358,42817917,2330,43414011.8,1.244674866,0.836098589,5.366930867,4.311913909,6.419016771,0.500734912,0.502718225,8.046331718,16.06904477,16.00564952,0
death,Oct-21,202143,all_ages,Pfizer,18,5983040,382,52875297,2330,43414011.8,0.300850404,0.722454571,5.366930867,17.83920114,7.42874512,0.09609927,0.650959374,8.046331718,83.7293738,12.36072794,0
death,Nov-21,202144,18-49,all_types,2,1715900,26,52664619,298,30494381,0.116556909,0.049369,0.977229215,8.384138048,19.79438626,,,,,,0
death,Nov-21,202144,50-64,all_types,5,1828204,100,28120154,707,8252032,0.273492455,0.355616829,8.567586747,31.32659272,24.09218587,,,,,,0
death,Nov-21,202144,65+,all_types,47,5343745,721,23407165,1375,3869619.8,0.879532987,3.080253418,35.53320665,40.40008412,11.53580626,,,,,,1
death,Nov-21,202144,all_ages,all_types,54,8887849,847,104191938,2380,42616032.8,0.607571078,0.812922781,5.5847526,9.191932929,6.869966903,0.278174154,0.627304935,8.394542039,30.17728967,13.38191615,0
death,Nov-21,202144,all_ages,Janssen,0,77785,87,9372545,2380,42616032.8,0,0.928243076,5.5847526,,6.016476444,0,0.979745225,8.394542039,,8.568086704,0
death,Nov-21,202144,all_ages,Moderna,12,1428023,387,42794893,2380,42616032.8,0.8403226,0.904313512,5.5847526,6.645962636,6.175681911,0.490842473,0.544086357,8.394542039,17.10231387,15.42869423,0
death,Nov-21,202144,all_ages,Pfizer,42,7366759,372,51955841,2380,42616032.8,0.570128601,0.715992645,5.5847526,9.795601543,7.800013928,0.249558119,0.674180878,8.394542039,33.63762342,12.4514686,0
death,Nov-21,202145,18-49,all_types,3,2377999,20,52445765,319,30058457,0.126156487,0.0381346,1.061265387,8.41229343,27.82943754,,,,,,0
death,Nov-21,202145,50-64,all_types,6,2603781,114,27488654,690,8078036,0.230434126,0.414716559,8.541680181,37.06777427,20.59642904,,,,,,0
death,Nov-21,202145,65+,all_types,48,7262021,768,21616578,1454,3752091.15,0.660973027,3.552828759,38.75172382,58.62829837,10.90728725,,,,,,1
death,Nov-21,202145,all_ages,all_types,57,12243801,902,101550997,2463,41888584.15,0.465541706,0.888223677,5.879883625,12.63019737,6.619823108,0.238286599,0.712657969,8.990067049,37.72795898,12.61484112,0
death,Nov-21,202145,all_ages,Janssen,1,333677,81,9188329,2463,41888584.15,0.299691019,0.881553109,5.879883625,19.61981928,6.669914225,0.153563904,0.954724394,8.990067049,58.54284007,9.416400275,0
death,Nov-21,202145,all_ages,Moderna,15,3191729,443,41268307,2463,41888584.15,0.469964712,1.073462985,5.879883625,12.51133005,5.477490802,0.251491874,0.676503912,8.990067049,35.74694845,13.2890097,0
death,Nov-21,202145,all_ages,Pfizer,41,8699512,377,51028800,2463,41888584.15,0.471290803,0.738798482,5.879883625,12.47612638,7.958711021,0.239092573,0.71758932,8.990067049,37.60077915,12.52815057,0
death,Nov-21,202146,18-49,all_types,1,3243411,37,51997333,346,29592329,0.0308317,0.071157496,1.169221929,37.92267266,16.43146541,,,,,,0
death,Nov-21,202146,50-64,all_types,13,3544084,125,26688210,794,7883341,0.366808462,0.468371614,10.07187181,27.45812288,21.5040184,,,,,,0
death,Nov-21,202146,65+,all_types,65,9174202,817,19823556,1739,3641676,0.708508489,4.121359457,47.75273803,67.3989638,11.5866472,,,,,,1
death,Nov-21,202146,all_ages,all_types,79,15961697,979,98509099,2879,41117346,0.494934843,0.993816825,7.001911067,14.14713707,7.045474469,0.214098349,0.8410291,10.89957104,50.90917831,12.95980251,0
death,Nov-21,202146,all_ages,Janssen,1,632357,128,8973082,2879,41117346,0.15813852,1.426488691,7.001911067,44.27707477,4.908493919,0.082628689,1.623848364,10.89957104,131.9102508,6.712185252,0
death,Nov-21,202146,all_ages,Moderna,21,5308544,423,39383072,2879,41117346,0.395588696,1.074065527,7.001911067,17.69997761,6.519072522,0.175818277,0.716388452,10.89957104,61.99339021,15.21461018,0
death,Nov-21,202146,all_ages,Pfizer,57,9997746,427,50091196,2879,41117346,0.570128507,0.852445208,7.001911067,12.28128568,8.21391334,0.241425121,0.86276648,10.89957104,45.14679743,12.63328061,0
death,Nov-21,202147,18-49,all_types,1,4232901,19,51381133,357,29129735,0.0236245,0.0369786,1.225551829,51.87639561,33.14223237,,,,,,0
death,Nov-21,202147,50-64,all_types,16,4489305,146,25866622,779,7682703,0.356402606,0.564433964,10.13966048,28.45001781,17.96429897,,,,,,0
death,Nov-21,202147,65+,all_types,82,10720688,800,18373747,1624,3571906,0.764876284,4.354038401,45.46592212,59.44219093,10.44224188,,,,,,1
death,Nov-21,202147,all_ages,all_types,99,19442894,965,95621502,2760,40384344,0.509183458,1.009187243,6.834331641,13.42213997,6.772114577,0.21706963,0.87860116,10.55925358,48.64454591,12.0182559,0
death,Nov-21,202147,all_ages,Janssen,1,903215,111,8781064,2760,40384344,0.11071561,1.264083715,6.834331641,61.72870853,5.406549868,0.089947955,1.465271229,10.55925358,117.3929257,7.206347444,0
death,Nov-21,202147,all_ages,Moderna,40,7244835,417,37645678,2760,40384344,0.552117474,1.107696878,6.834331641,12.37840127,6.169857273,0.295175234,0.770114546,10.55925358,35.77283033,13.71127663,0
death,Nov-21,202147,all_ages,Pfizer,58,11268711,436,49135840,2760,40384344,0.514699507,0.887336006,6.834331641,13.27829451,7.702078578,0.193552607,0.916363881,10.55925358,54.554954,11.5229919,0
death,Dec-21,202148,18-49,all_types,3,5420424,32,50549035,376,28673071,0.0553462,0.063304868,1.311334946,23.6933047,20.71459877,,,,,,0
death,Dec-21,202148,50-64,all_types,11,5604494,143,24875279,978,7485418.3,0.196271064,0.574867924,13.0654021,66.56815245,22.72765892,,,,,,1
death,Dec-21,202148,65+,all_types,124,12149349,885,17036882,2154,3492655,1.020630817,5.194612488,61.67228083,60.42565028,11.87235448,,,,,,1
death,Dec-21,202148,all_ages,all_types,138,23174267,1060,92461196,3508,39651144.3,0.59548809,1.146426875,8.847159551,14.85698823,7.717159937,0.248175342,1.040356859,13.96363214,56.26518738,13.42196384,0
death,Dec-21,202148,all_ages,Janssen,6,1172455,135,8585132,3508,39651144.3,0.511746719,1.572486014,8.847159551,17.28816075,5.626224635,0.408135193,1.840973947,13.96363214,34.21325183,7.584915672,0
death,Dec-21,202148,all_ages,Moderna,48,9181050,431,35899278,3508,39651144.3,0.522816018,1.200581248,8.847159551,16.92212796,7.369063578,0.177617483,0.876841797,13.96363214,78.61631602,15.92491622,0
death,Dec-21,202148,all_ages,Pfizer,84,12791724,494,47920366,3508,39651144.3,0.656674581,1.030876934,8.847159551,13.47266942,8.582168497,0.299341791,1.092921954,13.96363214,46.64778719,12.77642204,0
death,Dec-21,202149,18-49,all_types,2,6789171,26,49491032,401,28135156,0.0294587,0.0525348,1.425263112,48.38177494,27.12990088,,,,,,0
death,Dec-21,202149,50-64,all_types,19,6805850,150,23785533,982,7265452.3,0.279171595,0.630635437,13.51602019,48.41474002,21.43238296,,,,,,1
death,Dec-21,202149,65+,all_types,116,13213541,843,16041598,2246,3419035,0.877887313,5.25508743,65.69105025,74.82856775,12.50046762,,,,,,1
death,Dec-21,202149,all_ages,all_types,137,26808562,1019,89318163,3629,38819643.3,0.511030767,1.14086538,9.348359984,18.29314513,8.194095592,0.224370293,1.055160621,14.81045348,66.00897686,14.03620754,0
death,Dec-21,202149,all_ages,Janssen,7,1413169,143,8407644,3629,38819643.3,0.495340614,1.700833194,9.348359984,18.87258933,5.496341449,0.410540974,2.03370708,14.81045348,36.07545752,7.282490983,0
death,Dec-21,202149,all_ages,Moderna,46,10919455,413,34319174,3629,38819643.3,0.421266446,1.203408917,9.348359984,22.19108612,7.768232273,0.178861484,0.901280899,14.81045348,82.80403991,16.43267209,0
death,Dec-21,202149,all_ages,Pfizer,84,14444029,463,46537685,3629,38819643.3,0.581555188,0.994892634,9.348359984,16.07475985,9.396350587,0.246026952,1.071520166,14.81045348,60.19850003,13.82190831,0
death,Dec-21,202150,18-49,all_types,3,8232086,36,48353013,398,27632170,0.0364428,0.074452444,1.440350143,39.52362081,19.3459081,,,,,,0
death,Dec-21,202150,50-64,all_types,22,8039359,133,22663749,920,7087704.549999999,0.273653658,0.586840244,12.98022503,47.43304041,22.11883925,,,,,,1
death,Dec-21,202150,65+,all_types,164,14182998,704,15139743,1995,3357425.55,1.15631406,4.650012883,59.42052833,51.38788015,12.77857284,,,,,,1
death,Dec-21,202150,all_ages,all_types,189,30454443,873,86156505,3313,38077300.1,0.620599103,1.0132723,8.70072193,14.01987514,8.586755927,0.275046466,0.95704517,13.64400412,49.6061786,14.2563847,0
death,Dec-21,202150,all_ages,Janssen,6,1647494,105,8233978,3313,38077300.1,0.36418949,1.275203796,8.70072193,23.89064529,6.823005043,0.30381663,1.503410094,13.64400412,44.90868099,9.075370831,0
death,Dec-21,202150,all_ages,Moderna,67,12638826,350,32756819,3313,38077300.1,0.530112528,1.068479818,8.70072193,16.41297172,8.143084955,0.194154988,0.821144931,13.64400412,70.27377577,16.61582944,0
death,Dec-21,202150,all_ages,Pfizer,116,16133708,418,45114409,3313,38077300.1,0.718991567,0.92653325,8.70072193,12.10128509,9.390620281,0.331525017,1.014012666,13.64400412,41.15527761,13.4554573,0
death,Dec-21,202151,18-49,all_types,4,10192071,43,46737489,369,27071575,0.0392462,0.092003231,1.363053313,34.73084037,14.81527657,,,,,,0
death,Dec-21,202151,50-64,all_types,31,9563538,187,21267178,900,6907442.55,0.324147821,0.879289203,13.02942433,40.19593377,14.81813296,,,,,,1
death,Dec-21,202151,65+,all_types,226,15261699,886,14135279,2196,3298164.55,1.480831197,6.268005039,66.58248752,44.96291519,10.62259636,,,,,,1
death,Dec-21,202151,all_ages,all_types,261,35017308,1116,82139946,3465,37277182.1,0.745345702,1.358656846,9.2952305,12.47103254,6.841485048,0.34226274,1.302639562,14.82487708,43.31431781,11.38064397,0
death,Dec-21,202151,all_ages,Janssen,10,1936549,167,8015270,3465,37277182.1,0.516382493,2.083523075,9.2952305,18.00066933,4.461304321,0.417254717,2.56515244,14.82487708,35.52956139,5.779335702,0
death,Dec-21,202151,all_ages,Moderna,99,14706247,426,30867621,3465,37277182.1,0.673183308,1.38008692,9.2952305,13.80787431,6.735250051,0.278596745,1.082234017,14.82487708,53.21267157,13.69840242,0
death,Dec-21,202151,all_ages,Pfizer,151,18337057,522,43208708,3465,37277182.1,0.82346911,1.208089814,9.2952305,11.28789215,7.694155181,0.402693434,1.31798612,14.82487708,36.81430046,11.24812837,0
death,Dec-21,202152,17-Dec,all_types,0,117757,0,8419652,3,6807870,0,0,0.0440666,,,,,,,,0
death,Dec-21,202152,18-49,all_types,15,12010895,112,45242200,536,26604918,0.124886613,0.247556485,2.014665108,16.13195405,8.138203728,,,,,,0
death,Dec-21,202152,50-64,all_types,90,10766989,429,20170048,1204,6780897.55,0.835888288,2.126916108,17.75576155,21.2417877,8.348125006,,,,,,1
death,Dec-21,202152,65+,all_types,661,16010920,2101,13482471,3472,3223057.55,4.128432345,15.58319688,107.7237979,26.09314841,6.912817614,,,,,,1
death,Dec-21,202152,all_ages,all_types,766,38906561,2642,87314371,5215,43416743.1,1.968819603,3.02584783,12.01149517,6.100861221,3.969629619,0.851556115,2.902198029,20.79032433,24.41450887,7.163647733,0
death,Dec-21,202152,all_ages,Janssen,28,2183604,345,7835705,5215,43416743.099999994,1.282283784,4.402922264,12.01149517,9.367267463,2.728073413,0.973675261,5.032304271,20.79032433,21.35242126,4.13137267,0
death,Dec-21,202152,all_ages,Moderna,273,16319052,970,29451875,5215,43416743.1,1.672891293,3.293508478,12.01149517,7.180081108,3.647021178,0.681676264,2.331665092,20.79032433,30.49882392,8.916513956,0
death,Dec-21,202152,all_ages,Pfizer,464,20363981,1324,49976695,5215,43416743.1,2.278532866,2.649234808,12.01149517,5.271591797,4.533948871,1.0191592,3.126921843,20.79032433,20.39948649,6.648814832,0
death,Jan-22,202201,17-Dec,all_types,0,273320,2,8591321,7,6944828,0,0.0232793,0.100794433,,4.329786641,,,,,,0
death,Jan-22,202201,18-49,all_types,22,14275626,164,44878410,663,27262853.55,0.154108829,0.365431841,2.431880429,15.78027977,6.654812621,,,,,,1
death,Jan-22,202201,50-64,all_types,157,12255421,602,19672018,1598,6936986.950000002,1.281065742,3.060184268,23.03593781,17.98185453,7.527630952,,,,,,1
death,Jan-22,202201,65+,all_types,1177,17278006,3243,13292752,5300,3330576.55,6.812128668,24.39675396,159.1316074,23.36004136,6.522654926,,,,,,1
death,Jan-22,202201,all_ages,all_types,1356,44082373,4011,86434501,7568,44475245.050000004,3.076059449,4.640508077,17.01620754,5.531820116,3.666884586,1.35810384,4.484761717,29.83125844,21.96537376,6.65169307,0
death,Jan-22,202201,all_ages,Janssen,76,2499133,508,7860012,7568,44475245.05,3.041054638,6.463094458,17.01620754,5.595495499,2.632826682,2.057528721,7.467289346,29.83125844,14.49858665,3.994924671,0
death,Jan-22,202201,all_ages,Moderna,484,18418933,1538,28958039,7568,44475245.05,2.627730933,5.311133119,17.01620754,6.475627821,3.203875172,1.056904979,3.783707279,29.83125844,28.22510919,7.884134854,0
death,Jan-22,202201,all_ages,Pfizer,792,23116715,1958,49564644,7568,44475245.05,3.426092332,3.950396577,17.01620754,4.966651768,4.307468176,1.59894475,4.707208242,29.83125844,18.65684129,6.337356859,0
death,Jan-22,202202,17-Dec,all_types,0,406656,4,8518070,3,6831760,0,0.046959,0.0439125,,0.935125429,,,,,,0
death,Jan-22,202202,18-49,all_types,24,15739979,134,43661936,569,26768617.55,0.152477967,0.306903478,2.125623406,13.94052824,6.926032321,,,,,,1
death,Jan-22,202202,50-64,all_types,161,13091423,566,18918007,1464,6807519.950000002,1.229812832,2.991858498,21.50562923,17.48691237,7.188050252,,,,,,1
death,Jan-22,202202,65+,all_types,1372,17744814,3208,12866089,5483,3288986.55,7.731836468,24.93376192,166.7078876,21.56122782,6.686030295,,,,,,1
death,Jan-22,202202,all_ages,all_types,1557,46982872,3912,83964102,7519,43696884.050000004,3.313973654,4.659133971,17.20717658,5.192309409,3.693213522,1.488244668,4.523867465,30.53205991,20.51548416,6.749105748,0
death,Jan-22,202202,all_ages,Janssen,84,2698560,437,7692810,7519,43696884.05,3.112771256,5.680629055,17.20717658,5.527928386,3.029097027,2.223824777,6.645994692,30.53205991,13.72952592,4.594054212,0
death,Jan-22,202202,all_ages,Moderna,577,19566965,1668,27932325,7519,43696884.05,2.948847713,5.971575943,17.20717658,5.835220485,2.881513481,1.1776268,4.246456177,30.53205991,25.92677061,7.190009419,0
death,Jan-22,202202,all_ages,Pfizer,896,24668128,1803,48288685,7519,43696884.05,3.632217248,3.733793952,17.20717658,4.737375385,4.60849656,1.73337744,4.470257768,30.53205991,17.61420173,6.830044596,0
death,Jan-22,202203,17-Dec,all_types,0,598325,2,8402650,2,6720975,0,0.023802,0.0297576,,1.250212953,,,,,,0
death,Jan-22,202203,18-49,all_types,33,17239619,137,42434842,444,26379372.55,0.191419544,0.322847909,1.683133286,8.792901992,5.213393799,,,,,,1
death,Jan-22,202203,50-64,all_types,167,13897276,510,18197499,1271,6715255.950000002,1.201674343,2.802582926,18.92705222,15.75056698,6.753431642,,,,,,1
death,Jan-22,202203,65+,all_types,1281,18198522,2901,12454212,5129,3255847.55,7.03903317,23.29332438,157.5319459,22.37977036,6.762965359,,,,,,1
death,Jan-22,202203,all_ages,all_types,1481,49933742,3550,81489203,6846,43071451.05,2.965930332,4.356405351,15.89451907,5.359033183,3.648539974,1.399340646,4.245847572,28.41464162,20.30573592,6.692336721,0
death,Jan-22,202203,all_ages,Janssen,91,2901464,402,7526113,6846,43071451.05,3.13634772,5.34140266,15.89451907,5.067843393,2.975720064,2.305694958,6.376214601,28.41464162,12.32367774,4.456349637,0
death,Jan-22,202203,all_ages,Moderna,600,20705236,1490,26936489,6846,43071451.05,2.897817731,5.531530111,15.89451907,5.48499614,2.873439853,1.249409292,3.958072122,28.41464162,22.74246061,7.178909515,0
death,Jan-22,202203,all_ages,Pfizer,786,26276146,1653,46977823,6846,43071451.05,2.991306259,3.51868157,15.89451907,5.313571293,4.517180299,1.503357185,4.216231637,28.41464162,18.9007921,6.739345478,0
death,Jan-22,202204,17-Dec,all_types,0,1004336,1,8083993,6,6633510,0,0.0123701,0.090449852,,7.311959732,,,,,,0
death,Jan-22,202204,18-49,all_types,27,18746341,99,41207684,345,26046177.55,0.144028107,0.240246455,1.324570561,9.196611633,5.513382333,,,,,,1
death,Jan-22,202204,50-64,all_types,129,14662859,411,17517145,1139,6637861.950000002,0.879773856,2.346272752,17.15913962,19.50403449,7.313360994,,,,,,1
death,Jan-22,202204,65+,all_types,1111,18636607,2123,12057570,4259,3226026.55,5.961385568,17.60719614,132.0199922,22.14585698,7.498070172,,,,,,1
death,Jan-22,202204,all_ages,all_types,1267,53050143,2634,78866392,5749,42543576.050000004,2.388306474,3.339825664,13.51320348,5.658069275,4.046080497,1.149959867,3.247929225,24.00627456,20.87574988,7.391255443,0
death,Jan-22,202204,all_ages,Janssen,62,3102091,286,7365977,5749,42543576.05,1.998651877,3.882716441,13.51320348,6.761159178,3.480347764,1.443387989,4.607609831,24.00627456,16.63189298,5.210136152,0
death,Jan-22,202204,all_ages,Moderna,469,21810972,1164,25969431,5749,42543576.05,2.150293898,4.482192929,13.51320348,6.284351871,3.014864308,0.903493095,3.190092365,24.00627456,26.57051249,7.525260028,0
death,Jan-22,202204,all_ages,Pfizer,735,28084521,1183,45483741,5749,42543576.05,2.617100003,2.600929418,13.51320348,5.163426489,5.195528717,1.363431466,3.106831949,24.00627456,17.60724698,7.726930506,0
death,Feb-22,202205,17-Dec,all_types,0,1364264,3,7804082,3,6567269,0,0.0384414,0.0456811,,1.188329883,,,,,,0
death,Feb-22,202205,18-49,all_types,10,19881681,70,40309958,226,25786236.55,0.0502976,0.173654361,0.876436542,17.42503175,5.047017173,,,,,,1
death,Feb-22,202205,50-64,all_types,75,15219391,289,17030864,770,6584426.6,0.492792386,1.696919193,11.69426052,23.7306031,6.891465758,,,,,,1
death,Feb-22,202205,65+,all_types,857,18954148,1423,11773264,3074,3204861.55,4.521437735,12.08670765,95.91677993,21.21377879,7.93572433,,,,,,1
death,Feb-22,202205,all_ages,all_types,942,55419484,1785,76918168,4073,42142793.7,1.69976321,2.320648094,9.664760312,5.685945111,4.164681554,0.807445187,2.253232517,17.25107451,21.36501002,7.656144838,0
death,Feb-22,202205,all_ages,Janssen,45,3252983,207,7244217,4073,42142793.7,1.383345686,2.857451675,9.664760312,6.986511332,3.382300529,1.067141605,3.403051475,17.25107451,16.16568451,5.069295787,0
death,Feb-22,202205,all_ages,Moderna,412,22611394,765,25286446,4073,42142793.7,1.822090226,3.025336182,9.664760312,5.3042161,3.194607055,0.739505208,2.161778732,17.25107451,23.32786075,7.980037111,0
death,Feb-22,202205,all_ages,Pfizer,485,29501380,811,44341339,4073,42142793.7,1.643990891,1.828993031,9.664760312,5.878840548,5.284197452,0.860555884,2.166123768,17.25107451,20.04643143,7.964029923,0
death,Feb-22,202206,17-Dec,all_types,0,1602883,0,7648641,4,6503211,0,0,0.0615081,,,,,,,,0
death,Feb-22,202206,18-49,all_types,14,20765216,50,39663113,151,25555928.55,0.06742044,0.126061714,0.590860941,8.763825052,4.687076857,,,,,,1
death,Feb-22,202206,50-64,all_types,59,15648760,162,16667301,552,6539960.6,0.377026678,0.971963007,8.440417821,22.386792,8.683887926,,,,,,1
death,Feb-22,202206,65+,all_types,640,19206836,951,11550620,2236,3184984.55,3.33214695,8.233324272,70.20442219,21.06882537,8.526862282,,,,,,1
death,Feb-22,202206,all_ages,all_types,713,57223695,1163,75529675,2943,41784084.7,1.245987348,1.539792141,7.043351604,5.652827545,4.574222335,0.614642715,1.503220214,12.57948208,20.46633234,8.368356125,0
death,Feb-22,202206,all_ages,Janssen,31,3370510,122,7151514,2943,41784084.699999996,0.919742116,1.705932478,7.043351604,7.657963553,4.128739968,0.722237383,2.176363725,12.57948208,17.4173788,5.780045835,0
death,Feb-22,202206,all_ages,Moderna,294,23217441,500,24785350,2943,41784084.7,1.266289424,2.017320716,7.043351604,5.56219729,3.491438694,0.534091827,1.445882282,12.57948208,23.55303235,8.700211794,0
death,Feb-22,202206,all_ages,Pfizer,387,30581207,539,43547382,2943,41784084.7,1.265483079,1.237732271,7.043351604,5.565741431,5.690529181,0.689410617,1.474140213,12.57948208,18.24671941,8.533436623,0
death,Feb-22,202207,17-Dec,all_types,0,1759918,0,7571208,1,6458362,0,0,0.0154838,,,,,,,,0
death,Feb-22,202207,18-49,all_types,11,21391781,31,39274096,108,25373196.55,0.0514216,0.078932434,0.425646015,8.277569397,5.392536276,,,,,,1
death,Feb-22,202207,50-64,all_types,44,15951577,112,16425268,380,6508064.6,0.275834797,0.681876241,5.838909466,21.16813953,8.563004715,,,,,,1
death,Feb-22,202207,65+,all_types,434,19386897,615,11396687,1360,3170597.55,2.238625397,5.396305084,42.89412259,19.1609202,7.948794948,,,,,,1
death,Feb-22,202207,all_ages,all_types,489,58490173,758,74667259,1849,41510220.7,0.836037876,1.015170518,4.454324667,5.327898167,4.387760074,0.420460659,0.991284748,7.843456549,18.65443622,7.912415243,0
death,Feb-22,202207,all_ages,Janssen,18,3457071,82,7085364,1849,41510220.699999996,0.520671979,1.157315277,4.454324667,8.554953684,3.848842883,0.405507811,1.438683122,7.843456549,19.34230694,5.451830518,0
death,Feb-22,202207,all_ages,Moderna,219,23638231,352,24469684,1849,41510220.7,0.926465267,1.438514694,4.454324667,4.807870111,3.096474916,0.398738553,1.036937341,7.843456549,19.67067517,7.564060278,0
death,Feb-22,202207,all_ages,Pfizer,250,31339721,324,43067332,1849,41510220.7,0.797709718,0.752310359,4.454324667,5.583891692,5.920860471,0.442586415,0.902882934,7.843456549,17.72186467,8.687124606,0
death,Feb-22,202208,17-Dec,all_types,0,1875178,0,7530121,1,6415998,0,0,0.015586,,,,,,,,0
death,Feb-22,202208,18-49,all_types,3,21871063,11,39021927,80,25214419.55,0.0137168,0.0281893,0.317278769,23.1307465,11.25529906,,,,,,1
death,Feb-22,202208,50-64,all_types,34,16186787,66,16245959,242,6480093.6,0.210047862,0.406254872,3.734513958,17.77934764,9.192539493,,,,,,1
death,Feb-22,202208,65+,all_types,314,19530053,379,11277745,943,3158276.55,1.607778535,3.3606009,29.8580566,18.57100089,8.884737429,,,,,,1
death,Feb-22,202208,all_ages,all_types,351,59463081,456,74075752,1266,41268787.7,0.590282229,0.615586056,3.067693699,5.196994841,4.983371002,0.291078398,0.602208119,5.412310614,18.59399617,8.987442119,0
death,Feb-22,202208,all_ages,Janssen,19,3524933,52,7036448,1266,41268787.7,0.539017337,0.739009227,3.067693699,5.691270923,4.151089845,0.418098737,0.91960172,5.412310614,12.94505373,5.885494228,0
death,Feb-22,202208,all_ages,Moderna,146,23962384,198,24260370,1266,41268787.699999996,0.609288291,0.816145838,3.067693699,5.034880439,3.758756777,0.264641142,0.584123876,5.412310614,20.45150867,9.265689762,0
death,Feb-22,202208,all_ages,Pfizer,186,31920162,206,42734442,1266,41268787.7,0.58270381,0.482046776,3.067693699,5.264584938,6.363892158,0.315642621,0.577180597,5.412310614,17.1469575,9.377152733,0
death,Mar-22,202209,17-Dec,all_types,0,1966487,0,7498724,0,6380343,0,0,0,,,,,,,,0
death,Mar-22,202209,18-49,all_types,3,22268582,12,38818368,56,25073377.55,0.0134719,0.0309132,0.223344461,16.57854816,7.224889572,,,,,,1
death,Mar-22,202209,50-64,all_types,28,16378009,53,16100292,168,6455732.6,0.170960951,0.329186576,2.602338269,15.22182843,7.905359625,,,,,,1
death,Mar-22,202209,65+,all_types,236,19645182,285,11183389,633,3147135.55,1.201312362,2.548422486,20.11352832,16.7429629,7.892540748,,,,,,1
death,Mar-22,202209,all_ages,all_types,267,60258260,350,73600773,857,41056588.7,0.443092781,0.475538484,2.087362899,4.710893493,4.389472082,0.22184088,0.465856043,3.665941776,16.52509576,7.869258818,0
